Gene	X1	X2	X3	X4	X5	X6	X7	X8	X9
ENSG00000002834	-2.96542262699597e-06	1.12857693955809e-06	1.70562290014272e-07	-6.65516259431184e-07	3.39835141360785e-07	4.9409479921087e-07	-1.26490911443359e-06	-6.97109528686302e-07	-7.31801284142077e-07
ENSG00000004059	-2.43951006258778e-06	1.54347565836425e-06	-3.18336372336832e-08	-1.10010141404584e-06	1.24737488766533e-06	9.62972704493664e-07	-1.51014804467008e-06	-9.21653271507089e-07	-7.63829754920451e-07
ENSG00000004534	-2.2191103830927e-06	7.921088759189e-07	4.07247687611352e-07	-9.0177038240234e-07	1.4276724554077e-07	6.54237924503153e-07	-1.47111179120426e-06	-4.70082633942423e-07	-2.54685989001625e-07
ENSG00000005075	2.43063690325805e-06	-9.17351261723995e-07	6.84051509749241e-08	8.82749493842918e-07	-3.43123178283799e-07	-6.66786671058089e-07	1.01991426152764e-06	5.09696463932697e-07	4.53381581989908e-07
ENSG00000005893	-2.75861691392322e-06	9.57818446628094e-07	8.29641313572175e-07	-2.72445389892956e-07	-4.39889622195606e-08	6.75626516804991e-07	-1.11014134484697e-06	-6.62241534931609e-07	-7.0457003333241e-07
ENSG00000005961	-1.39297818960538e-06	9.26200710576611e-07	1.0077194980783e-06	-2.85923472796788e-07	7.34737094733877e-07	1.45024171433885e-06	1.90000269571915e-07	-1.45524737025854e-06	2.11371813041073e-07
ENSG00000006459	-2.05939726222122e-06	9.73444783048431e-07	1.91791473296284e-06	-1.7533769954824e-07	-1.63665933230491e-06	5.92517936128499e-07	-1.34853996359678e-06	2.96437429693061e-07	-1.03912931195346e-07
ENSG00000006712	-2.89321827423555e-06	8.85523807926854e-07	-6.34633350192965e-07	-1.18421852847615e-06	8.80837745653189e-07	7.40869240054705e-07	-1.05098038455642e-06	-8.95882893624874e-07	-6.81057366579453e-07
ENSG00000007202	-2.99755839192808e-06	6.14735458996195e-07	-5.99464891412506e-07	-1.35141664378789e-06	4.31847673536328e-07	5.75531118202933e-07	-1.23343315226902e-06	-7.75534968460678e-07	-2.74645051555464e-07
ENSG00000007402	1.04111878436456e-06	-8.54850764469569e-07	-1.86413043860375e-06	-5.99505969295374e-07	-1.122281358756e-06	-8.29856229689663e-07	8.58713043175385e-07	8.88226048894737e-07	4.71809105296291e-07
ENSG00000007923	-2.56568070526702e-06	6.4398192969987e-07	-1.09610500213601e-06	-1.9845858898733e-06	-9.49872483897382e-09	6.1116547839665e-07	-1.0538167912707e-06	-6.0776217884596e-07	-1.79607862022043e-07
ENSG00000009790	-2.23865511759968e-06	7.71669260938469e-07	-1.34438915467062e-07	-1.19835297137795e-06	3.57667795463257e-07	6.07022494901293e-07	-1.48842970500034e-06	-4.21262561466125e-07	-4.1136378157779e-08
ENSG00000010671	-1.48477899393673e-06	1.63476179020291e-06	8.3005571515029e-07	-7.21562565146075e-07	-2.8582073458277e-07	5.7733323349203e-07	-1.28929191175909e-06	3.87999442907154e-07	1.51291147610819e-07
ENSG00000011243	-3.00968396381854e-06	9.39408066569041e-07	-1.83659456858672e-07	-1.29222727804133e-06	6.89258825685397e-07	9.51978494254592e-07	-1.30427297091881e-06	-1.01680864563584e-06	-6.67194313455217e-07
ENSG00000011422	-1.67057011050144e-06	1.48669537428078e-06	4.14109006038767e-07	1.91040801224038e-07	2.34853457512023e-06	6.0791237430195e-07	-5.573450803554e-07	-1.59837080238087e-06	-1.14942863840909e-06
ENSG00000011566	1.25137570435641e-06	-6.31655611604621e-07	-1.75301135995672e-06	-5.81019500001757e-07	-5.65295806348035e-07	-4.2571116893115e-07	1.26413185593142e-06	6.41882571198069e-07	5.57736727182044e-07
ENSG00000012232	-2.50126360856672e-06	9.60696770602632e-07	7.60625948978113e-07	-9.18751972134957e-08	-2.76212497014368e-07	2.18652413646496e-07	-1.12934211165206e-06	-4.36474429658547e-07	-9.08487526244199e-07
ENSG00000012660	-1.59717038916841e-06	6.79331024518297e-07	1.71907632167792e-06	-9.18869843369624e-08	-1.01865531896601e-06	6.82459290314011e-07	-1.36988685945628e-06	-3.80279360496863e-08	-2.77346677776028e-08
ENSG00000013374	-2.06537654168652e-06	9.86847447036164e-07	1.12798967518312e-07	-1.17337981290183e-06	6.29761643800337e-07	1.12302754853341e-06	-8.10268377593484e-07	-1.43943723149487e-06	3.47327574019296e-07
ENSG00000013810	-2.48860045736253e-06	5.20556446160846e-07	5.49063106619032e-07	4.08550622636826e-09	5.43752929615708e-07	4.59609806999722e-07	-9.98967666154525e-07	-6.11391388379255e-07	-9.49520823625997e-07
ENSG00000014138	1.27571496809977e-06	-5.92327035718307e-07	-1.92520238266982e-06	-4.83042938024652e-07	6.53101012545463e-07	-2.02582085439244e-07	1.40077871189409e-06	4.86462759649558e-09	1.78123609030494e-07
