Module	ctrl_0	PBS_24	PBS_48	BMP2_24	BMP2_48	IFNG_24	IFNG_48	TGFB_24	TGFB_48	HGF_24	HGF_48	OSM_24	OSM_48	EGF_24	EGF_48
P1_I1_M11	-0.0917635207086248	-0.0581865572492879	-0.0746245363719699	-0.126089023810729	-0.122297430721272	-0.109667251252083	-0.0816228986455535	-0.131138960227802	-0.105531738971093	-0.0976044154382089	-0.0839661272688334	0.448507168816517	0.818461235476692	-0.0846161702264395	-0.0998597734013109
P1_I1_M18	-0.162986676084219	0.244077630424524	0.290432350274546	-0.209274331399773	-0.188950857682504	-0.134088882697787	0.194842865911646	-0.198984741781597	-0.172544506014129	-0.0890888487534628	0.0736668474936025	0.107394531468976	0.702934632632913	-0.251810537686535	-0.205619476106202
P1_I1_M36	-0.164984505842098	0.166191652513663	0.20984975975692	-0.179047061155542	-0.131442893837684	-0.387712362133366	-0.372304044756135	0.244771488236008	0.274313500990505	-0.120580222841028	0.075404555452137	0.269928851967156	0.507522423707017	-0.185160175513554	-0.206750966544002
P1_I1_M22	-0.070631588001922	-0.278264362025924	-0.292162561656079	-0.00304879468578587	-0.0761889412079485	0.0690927461517377	-0.155716081229426	0.266756401977827	0.094655765995254	-0.17637142630917	-0.235163825570777	0.564411061020074	0.526025279330721	-0.052045985984281	-0.1813476878043
P1_I1_M23	-0.100448790893298	-0.124864119855875	-0.19536692728024	-0.105214522749753	-0.0816391224260666	-0.197182821639897	-0.271945931751076	0.523240788920457	0.486994732296387	-0.120853924256275	-0.149817186494241	0.258862417964776	0.37573519241888	-0.0980317556858153	-0.199468028567962
P1_I1_M2	0.132265550656486	-0.539465939285544	-0.553016054773227	0.156277911145948	0.109510819340542	0.327915090650297	-0.141696934180646	0.0248874686505375	0.00380618910383411	0.0231750060041364	-0.161018711417148	0.225691718055933	-0.113508440920621	0.292043054187183	0.21313327278229
P1_I1_M10	0.178237585701492	-0.338565854901345	-0.195227313482128	0.10474156349588	0.0937163435955454	0.206563737955487	-0.404520468768862	-0.39030490193122	-0.337379558902064	0.123963667498516	0.0543225697763832	0.210798104258118	-0.0257098778869053	0.336106170565488	0.383258233025616
P1_I1_M29	0.036740708242951	-0.341122743041194	-0.32484509160777	-0.0927579241679945	-0.0741735515552946	0.302095694010088	0.172009451591842	-0.41812465480624	-0.371141411881822	0.0233676356054052	-0.0442902831017908	0.306695181104562	0.306216627107716	0.214710574727634	0.304619787771909
P1_I1_M38	-0.0568171470297627	-0.101519857953291	-0.146596972237796	-0.119879342528841	0.0410268641838596	-0.136105301383243	-0.0462777743031002	-0.142323355721509	-0.0776617928743193	-0.0543134621234027	-0.177157571760764	0.271696677625579	-0.0908391378696995	0.885005422236809	-0.0482372482605194
P1_I1_M32	-0.0469478697001591	-0.139493141602193	-0.140273059929788	-0.108375723806744	-0.0568515630026362	-0.128572436551651	-0.0478250465717539	-0.0979942345290021	-0.0103283766226059	-0.0541063667122915	-0.0929721368145682	0.95008314356814	-0.0230618694347876	0.0123137280028465	-0.0155950462928059
P1_I1_M35	-0.0366851307285438	-0.185927861252998	-0.211852244297	0.359737925380661	0.0579706814388535	-0.12573362754936	-0.219268760775249	-0.0614585117356617	-0.112403173357114	-0.159933312836508	-0.189652927651504	0.762475713150157	-0.00910740253493993	0.230908041342122	-0.0990694085929145
P1_I1_M28	-0.0729034899493981	-0.0300840201497537	-0.0295937962147114	-0.0892843011186219	-0.03151920591993	-0.179069505603734	-0.149180171573586	-0.107410151186332	0.936614737244034	-0.0524102503429795	-0.113753865098062	0.0501975556846249	-0.121408131849717	0.0574958158409196	-0.0676912197627529
P1_I1_M47	-0.106493958972112	-0.193955806318088	-0.224104656508569	-0.190670716297795	-0.042137830507575	0.555076184106793	-0.14136626560629	-0.194869127805505	0.511674943661974	-0.0167533075335273	-0.212755613448535	0.105074065791858	-0.130898852174177	0.387335688814593	-0.105154747203046
P1_I1_M3	0.0447066174348788	-0.412664954255195	-0.442059723282993	0.194161054332138	0.127247901488138	0.213317949965397	-0.20914292673331	0.506692105624617	0.322092604808748	-0.107424399484576	-0.242540038839729	0.0780155758666067	-0.185100840952356	0.132542712047199	-0.0198436380195644
P1_I1_M4	-0.0414749582971616	-0.138435622058629	-0.180707888594402	0.0537491319438666	0.0313999506343179	-0.0951434927234656	-0.199853712698075	0.727783171517787	0.521286520737614	-0.114336432584434	-0.163861840295583	-0.0616749824383251	-0.157073118637098	-0.030477334099635	-0.151179392406776
P1_I1_M37	0.0321809676367545	-0.180491937796633	-0.217523247161709	-0.224691142939423	-0.117838727733074	-0.231765276284414	-0.316774764251734	0.560984265161364	0.0332976427939333	-0.0181394193058892	-0.155991474018139	0.483265498864693	-0.0615365883704257	0.342988883013871	0.0720353203908253
P1_I1_M16	0.15591971090044	-0.298624667239099	-0.233038868251445	0.185488976457264	0.150105308160638	0.0623684752760977	-0.77385599483044	0.0204416756915176	-0.0508165163057156	0.0885976625948482	0.00566148473863	0.198240934981542	-0.00504876400472972	0.250651110763382	0.243909471067069
P1_I1_M25	0.11370307485885	-0.214810731778282	-0.23392657941634	0.194961604551881	0.142618550907539	-0.189807173528512	-0.701547992778634	0.412764307316372	0.26779535315516	0.0340393060728894	-0.0911183416641047	0.0963348423496372	-0.0692412928810373	0.172302137337347	0.065932935497234
P1_I1_M27	-0.0293424241633848	-0.0870200857259971	-0.124215961884182	0.64199968599997	0.630448251646378	-0.157685196323224	-0.220525027004858	0.0156553885262882	-0.0276493592172234	-0.0858139651331408	-0.113576782004903	-0.127324303616106	-0.205920858496859	0.00540417485816851	-0.114433537460927
