probeset,ctrl_0,PBS_1,PBS_4,PBS_8,PBS_24,PBS_48,BMP2_1,BMP2_4,BMP2_8,BMP2_24,BMP2_48,IFNG_1,IFNG_4,IFNG_8,IFNG_24,IFNG_48,TGFB_1,TGFB_4,TGFB_8,TGFB_24,TGFB_48,HGF_1,HGF_4,HGF_8,HGF_24,HGF_48,OSM_1,OSM_4,OSM_8,OSM_24,OSM_48,EGF_1,EGF_4,EGF_8,EGF_24,EGF_48
200814_at,10.80822491645813,11.469400405883789,10.792850017547607,11.387100219726562,11.39780044555664,12.497300148010254,10.674400329589844,10.747050285339355,10.556849956512451,10.55739974975586,10.767399787902832,11.090999603271484,11.707900047302246,12.748300075531006,13.564499855041504,14.680299758911133,10.486599922180176,11.053699970245361,11.116600036621094,10.72575044631958,11.313300132751465,10.31659984588623,10.51140022277832,11.123700141906738,10.949000358581543,12.25220012664795,11.17264986038208,11.44154977798462,11.523750305175781,11.857199668884277,13.080400466918945,10.847000122070312,10.622200012207031,10.859000205993652,10.66189956665039,11.885499954223633
218597_s_at,12.452049970626831,12.501799583435059,12.848000049591064,12.498100280761719,12.250699996948242,12.102499961853027,12.74269962310791,12.779449939727783,12.282900333404541,12.028599739074707,12.195799827575684,13.121199607849121,12.26069974899292,12.251399993896484,11.718999862670898,12.15839958190918,12.241000175476074,12.539299964904785,12.178299903869629,12.078200340270996,11.437700271606445,12.4306001663208,12.190199851989746,12.497099876403809,12.12559986114502,12.435700416564941,12.419750213623047,12.331999778747559,12.453150272369385,12.45829963684082,12.483200073242188,12.501799583435059,12.525899887084961,12.253600120544434,12.250699996948242,12.409099578857422
217140_s_at,15.000250339508057,15,15.000200271606445,15.000100135803223,15,15,15,15.000200271606445,15.000050067901611,15,15,15.000100135803223,15.00029993057251,15,15,14.98840045928955,15.000100135803223,15.000249862670898,15,14.836299896240234,15,15.000100135803223,15.000399589538574,15.000050067901611,15,15,15.000050067901611,15.000249862670898,15,15,14.737500190734863,15,15.00029993057251,15,15,15
209253_at,6.061474919319153,6.508800029754639,6.092549800872803,6.417300224304199,5.726799964904785,6.058300018310547,6.095699787139893,5.767099857330322,5.884999990463257,6.07390022277832,6.006800174713135,6.154900074005127,5.89424991607666,5.969799995422363,5.743100166320801,5.823800086975098,5.849899768829346,6.237900018692017,6.697199821472168,5.916600227355957,6.501100063323975,5.981299877166748,6.257299900054932,6.4499499797821045,6.181399822235107,5.9085001945495605,6.264250040054321,6.091300010681152,6.146450042724609,5.482800006866455,5.610099792480469,5.867300033569336,5.851749897003174,6.573599815368652,6.206900119781494,6.11899995803833
214404_x_at,8.8031747341156,8.25570011138916,9.901400089263916,8.050000190734863,9.215399742126465,7.586900234222412,8.42240047454834,9.194600105285645,8.919800281524658,8.550999641418457,6.684500217437744,10.313000202178955,8.2774498462677,8.422800064086914,7.761099815368652,6.996300220489502,8.238100051879883,8.76455020904541,8.927399635314941,9.549599647521973,6.912399768829346,9.717599868774414,8.252699851989746,7.734100103378296,7.169099807739258,8.321499824523926,8.641649723052979,7.766199827194214,8.406400203704834,8.07800006866455,8.050100326538086,8.018199920654297,9.378099918365479,7.346700191497803,8.308600425720215,6.905700206756592
222103_at,7.228600025177002,7.399199962615967,6.675600051879883,7.523099899291992,7.2519001960754395,7.823200225830078,7.407100200653076,7.012850046157837,7.057300090789795,7.269100189208984,8.668100357055664,7.17330002784729,7.2014000415802,7.52305006980896,7.4197998046875,8.476400375366211,7.299600124359131,7.186300039291382,7.325699806213379,6.489999771118164,7.262199878692627,7.328499794006348,7.356800079345703,7.769099950790405,7.973700046539307,8.913299560546875,7.69290018081665,7.597800016403198,7.221400022506714,7.659299850463867,8.9832000732421875,7.873700141906738,6.895550012588501,7.630000114440918,7.75029993057251,8.85159969329834
219888_at,4.575700044631958,4.446899890899658,4.9084999561309814,4.287399768829346,4.721399784088135,4.440000057220459,4.748300075531006,4.501549959182739,4.716350078582764,4.360499858856201,4.467299938201904,5.422299861907959,4.271850109100342,4.5002501010894775,4.486700057983398,4.42579984664917,4.739999771118164,4.624650001525879,4.561600208282471,4.59689998626709,4.64870023727417,4.707699775695801,4.644400119781494,4.294300079345703,4.273499965667725,4.486299991607666,4.744750022888184,4.160250186920166,4.465100049972534,4.564899921417236,4.711900234222412,4.258900165557861,4.249600172042847,4.537799835205078,4.344600200653076,4.408899784088135
207042_at,4.828024983406067,4.655600070953369,4.57384991645813,4.889699935913086,4.644199848175049,4.496099948883057,5.102399826049805,4.635500192642212,4.699199914932251,4.662499904632568,4.503600120544434,5.0782999992370605,4.786399841308594,4.76675009727478,4.5370001792907715,4.23330020904541,5.087500095367432,4.770849943161011,4.584499835968018,4.648900032043457,4.289100170135498,4.9720001220703125,4.772900104522705,4.522400140762329,4.655799865722656,4.304699897766113,5.062299966812134,4.826800107955933,4.656699895858765,4.445499897003174,4.503600120544434,4.764800071716309,5.114150047302246,4.724800109863281,4.3678998947143555,4.2845001220703125
201453_x_at,13.848725080490112,13.718199729919434,13.951099872589111,13.640299797058105,13.453700065612793,13.033900260925293,13.447199821472168,13.696049690246582,13.566750049591064,13.339400291442871,13.080599784851074,13.41349983215332,13.882149696350098,13.263999938964844,12.982399940490723,13.000699996948242,13.644800186157227,13.784149646759033,13.379599571228027,12.895899772644043,13.000699996948242,13.644800186157227,14.760299682617188,13.716749668121338,13.290599822998047,13.286800384521484,13.837649822235107,14.086350440979004,13.494800090789795,13.145099639892578,12.987000465393066,13.718199729919434,13.46304988861084,13.401300430297852,13.339400291442871,13.000699996948242
203627_at,6.8552000522613525,7.2484002113342285,6.78944993019104,7.520599842071533,6.910999774932861,6.986999988555908,6.6290998458862305,6.675750017166138,6.654249906539917,6.651599884033203,6.423999786376953,6.556600093841553,6.812450170516968,7.352299928665161,6.990799903869629,6.660399913787842,6.743299961090088,7.182149887084961,7.523099899291992,7.450099945068359,7.486999988555908,6.396599769592285,6.872499942779541,6.899250030517578,6.662399768829346,6.335999965667725,6.826649904251099,7.8459999561309814,8.080600023269653,8.140399932861328,8.41510009765625,6.587699890136719,6.685899972915649,6.9781999588012695,6.7778000831604,6.599299907684326
