,ctrl_0,PBS_24,PBS_48,BMP2_24,BMP2_48,IFNg_24,IFNg_48,TGFb_24,TGFb_48,HGF_24,HGF_48,OSM_24,OSM_48,EGF_24,EGF_48
P10_I5_M1,-0.38209915879405376,-1.069308708212056,-1.6035219803450282,-1.218457713027806,-1.2325290114372467,0.7085442916717536,0.5484459843720112,1.6929360010042747,1.5728447021305958,-1.0083356116974798,-0.8712650377621076,0.8714085622325154,1.2902463459105025,-0.3301400283563351,0.0778340801949242
P10_I5_M10,-0.9451380879153709,0.4470282856027373,0.6361554840989148,-0.8593789748473993,-0.7177701707445442,-0.8662299680730458,2.110115937758608,-0.6920214216698176,-0.6845104729653948,1.5482416437421462,-0.6450895467384775,-0.8899918598517169,1.7573719286299547,-0.6700432676519376,-0.5669032706189924
P10_I5_M11,-1.6232752246967554,0.5954865033611818,0.32265818780091227,-0.7621092141369732,0.9415392611765073,-0.8721151944861535,-0.2177788508403056,0.9926667841687618,2.8439396755644926,-1.0269410472453435,-0.05166571909382304,-0.7218977388774916,-0.3121145133379502,-0.6816314574258402,-1.0833157641237994
P10_I5_M12,0.26929560409236847,0.8472339082113696,2.3932366034851955,-0.9053820562686434,-0.16571713042234015,-1.4084691289896678,-1.4335653090399496,-0.839565968828001,-0.31346914668295045,0.4738109779109324,1.3993432132835644,-0.34040841620950235,-0.20589615446217016,-0.27510608591539826,0.877026082765243
P10_I5_M13,-0.7272591212671639,0.7942086716034091,1.6779088550727372,-1.059088121948031,-1.1460014901152855,-1.1364706274420497,1.299676678580932,-0.5359664257998731,1.1979252171911887,-0.9713700399680927,-0.5036521443032007,-0.5223190102922171,1.3627902434913601,-0.9187893974916818,-0.8989811876884733
P10_I5_M2,1.7288835806900633,0.9824062816123923,0.2028365744690272,0.38794384569126533,0.18823004765151002,-1.2893163388354272,0.6845055062381873,-0.8372627072475393,-0.8680022200086317,1.4222557670841962,1.4939469825206348,-2.1103954269489016,-1.7361534390711797,0.20077731554574937,0.9311511341715653
P10_I5_M3,-0.5317486295569948,-0.04680947193455196,-0.2811996180593139,-0.6463093073744314,-0.4771607748726265,2.6006444890179696,0.3524756554100376,-0.48571079946960866,-0.6214879518462387,-0.6000920656461839,3.002931383765013,-0.786131246611971,-0.5652807003673116,-0.606055102773165,-0.5710340167433955
P10_I5_M4,1.453954212678862,0.5192915924849482,-0.6477283484191992,-1.6272950426728883,-1.1050035070304642,-0.18766275725586853,1.2251327399107315,-1.7848519592264258,-1.2051459845900718,0.7289381989967837,1.2917592475734234,-0.13838012382323564,1.5400197902853023,-0.41146118633904416,1.0956640031318008
P10_I5_M5,2.178360648474509,0.4843523332581857,0.9111009420750807,-1.218225249456343,-0.7498483084254395,-0.8134654859888999,0.489952194496384,-0.4731404788933846,-0.7979872709055242,-0.5188882074170215,3.0608997220633083,-0.8416053328788307,-0.14301731795335024,-0.4500186015976844,-0.8247934639810887
P10_I5_M6,-0.33583580164901383,-0.4251504700733944,-0.2074883727605169,3.632377975544499,0.3210678216111164,-0.4868914753056424,-0.5432548046697617,-0.5602831571915814,-0.419277226753245,-1.0796546908157412,2.8499540986880936,-0.6528237148118925,-0.5869869185527659,0.17927613679372367,-0.5354407024693629
P10_I5_M7,-0.8178424692503705,0.7269380304043864,0.6486675161895319,0.12126287238798812,0.019001622636984093,-0.5687855825561162,0.5514596626546101,2.0069038856268016,1.1961200115568968,-0.18862545468216502,0.8194418557820671,-2.1976605714770505,-1.5256103794088043,-1.2216020058400092,-0.7936540890301024
P10_I5_M8,2.0679714400343707,-0.536762560997168,-0.9506808249206751,0.13827384619786454,-0.20275178552257853,-0.8706053631968568,-1.4450341150911363,1.5923068762138561,1.231026835057173,0.9340538785480311,-0.07785792216372812,-0.5394502512030488,-1.7723509997013662,0.9108510229269697,1.278843655455947
P10_I5_M9,-0.48131040425663846,-0.30462621013785984,-0.16208560625245844,-1.1803061373094668,0.6559867680536045,-0.9360537100053508,-0.9272314322810085,-0.9469002694094373,-1.3670952809726846,-0.8746862014073251,1.9441425540166137,1.6249840686313657,1.5464595096200653,0.5317047592890626,1.6920210747252586
P11_I4_M1,0.815901603163902,0.1241581795786171,-0.02442252218391633,-1.102582141805466,-0.6598698643253758,0.4947485649857205,1.8482811723635721,-1.0051376507884877,-0.8382851589109894,0.9481102167755024,1.3618139293664897,-1.5383464562766265,-1.6340854865880554,-0.06378213021569114,1.703835960105461
