feature,BMP2_1,BMP2_24,BMP2_4,BMP2_48,BMP2_8,ctrl_0,EGF_1,EGF_24,EGF_4,EGF_48,EGF_8,HGF_1,HGF_24,HGF_4,HGF_48,HGF_8,IFNG_1,IFNG_24,IFNG_4,IFNG_48,IFNG_8,OSM_1,OSM_24,OSM_4,OSM_48,OSM_8,PBS_1,PBS_24,PBS_4,PBS_48,PBS_8,TGFB_1,TGFB_24,TGFB_4,TGFB_48,TGFB_8
cateninbeta_4_af647cy5_int_mean_centcyto,397.451820729656,351.4861241135926,410.8969820400522,423.03067789691323,350.5463098606532,392.18969354926827,370.7822685014503,302.10803511779716,399.505124628558,361.7137536225282,349.15806682635326,362.9733246228695,286.5021120735508,391.5506242708685,413.2860893540886,327.4062363171098,410.03790624715117,307.734733942961,405.86268958907954,290.77060307668364,352.63786927261054,361.99925060839035,307.41968385585517,379.54575312163377,375.22828874746267,344.1235078740145,415.96977305061876,257.31579418418,369.4418541098117,299.16198263072994,315.6736938635947,407.1817626901251,374.08578680270125,386.12004250787396,451.68833589907115,356.62653649597274
cateninbeta_4_af647cy5_int_mean_cytoplasm,401.9541354043705,355.2591494463326,409.70954234102265,491.6330666337051,348.63612273448985,388.9450557250407,370.31782641724897,307.02781913440515,405.22705910588917,413.4852225147086,343.90895789935996,361.7217800390255,302.39066589644244,400.2430479197155,505.49752122990066,325.7594189937612,407.51059338478154,317.06113787092676,403.027948915542,298.9525710681129,343.13564025657075,354.7207544431878,335.72384020014533,380.23868133935565,478.0158627108352,341.95729964135995,408.64624833263713,311.2000911663845,370.79646738172397,375.66043466117407,324.08430804323905,404.14473975800195,378.35292897981054,385.6335743605582,486.72417670969105,356.9753462655948
cateninbeta_4_af647cy5_int_mean_nuc,358.45628481197,341.176613256765,425.15413599695904,302.9775042577619,373.2540542791818,415.7371706108197,312.4587761429618,297.3168784205719,410.6261563207032,255.55297979674154,364.50785817030635,328.7325101872242,255.68194699948864,405.1422737079631,238.86531471885155,328.12739470318576,362.76538999288715,273.83658493018,420.2665721440234,227.3011716890469,359.1846625887105,315.6505459077754,264.3465538181479,385.8610801990025,239.46136086558235,332.7644993574416,390.5555675883914,197.99996174879465,400.5958821540323,190.55615845447858,312.45741760454257,358.682054649052,382.89363406919557,419.2366871038578,406.01520492781094,363.4817112329998
cateninbeta_4_af647cy5_int_mean_nucring,434.2887783219321,407.3173766835284,476.48050835178003,383.03003850462704,422.00674267169796,478.6616622969208,395.56379492713376,345.0333488785627,460.57703157791013,326.0347155254018,426.2229490162636,405.7797196297935,313.80058354523436,464.4163828421337,321.8801577400998,391.21291839619255,455.7103917168757,333.92089990504496,469.5984026427436,278.7696397343728,425.9006320618907,390.98584219132306,335.6154580695315,439.0030619685964,317.20059571649796,396.4703886486351,462.85907480742515,258.1763168139387,439.6809625409897,250.91941603757712,359.255515012696,442.9388478708328,457.43717334105355,468.50409778622486,505.663867604415,437.97011006545233
cateninbeta_4_af647cy5_int_mean_plasmem,387.7750033236894,347.38784823350534,375.85315738584745,550.2614981852362,325.40030845302977,355.56727143647726,367.96594729681914,304.9559792218081,380.53730252915534,454.12913782021593,314.72610020719975,343.18413672959656,309.41149986880515,368.5719032420509,591.0974064898052,309.3859694784528,381.39332373744156,324.3011183351675,370.1415748389758,307.8016887053269,310.38515099306426,337.2635643062785,361.9664305810425,360.8723680104925,570.8925421408807,327.89822579727917,381.00144967603813,385.99685219029374,350.51640798945414,461.15991787416453,319.8112637986232,389.39960529711993,367.7431954836948,359.43605623522706,507.69054205834055,334.6624926177958
cateninbeta_4_af647cy5_txt_lawsls5_centcyto,1.2380798428174649,-13.083214700933066,26.91546039657236,-239.80251620637895,31.729409665759547,32.341005615463814,13.726252042724216,8.054414213895347,14.935088526482327,-170.13836414847418,24.655204207286683,10.461118431954159,-32.77588425977631,11.167732859544918,-360.4058932642189,21.37696522428804,20.558224560441055,-21.74683233681896,29.049189558762293,-6.0600213564127055,31.245127723555218,21.75142481289561,-119.47276138280252,22.981728032266215,-382.2085871870609,17.126058390085337,33.20748768790506,-145.53256500276044,7.847763699605078,-214.22855901850633,-5.198843083502136,8.303919795884985,-25.376095519251916,19.8035879266381,-86.93984733158052,10.646705223672813
cateninbeta_4_af647cy5_txt_lawsls5_cytoplasm,101.51280361111924,84.71276651186668,100.41294210406086,69.046922715978,90.87988435948579,99.45610183805655,88.90517459444084,94.02848406319471,96.71893729235231,62.976065139773766,91.45755647746978,89.23758277761924,76.09049110396819,96.2917609355023,55.36547351414898,84.14874253282376,95.95757333552888,84.9870008195068,98.06207484848396,72.3197817576351,94.66071163914604,85.96635540391753,73.69018820411686,96.40080923630919,47.98261643120057,93.06015424245763,106.45543560140416,46.194355619270326,94.94710481407711,35.90014704726458,85.18566983580675,92.65980112490661,122.360876059201,91.79965450078515,145.42920047813712,95.58280566509812
cateninbeta_4_af647cy5_txt_lawsls5_nuc,-112.34007716449909,-93.85853104114628,-63.23391458090596,-232.93979943402977,-63.045764694939045,-85.63064878807073,-99.90748115208642,-76.71727941647114,-68.90860073229923,-195.60665464146783,-66.94415036036267,-85.50690490949424,-96.41518196849769,-68.03864411053108,-291.50776252234306,-71.40143207989296,-110.35924075895805,-82.27008692990601,-58.81202313472263,-99.76053757256082,-58.318047162795786,-88.00402241558133,-135.81895737146874,-77.7932728589579,-274.0405300513521,-83.9232965619984,-90.5955016253479,-134.86932555694742,-80.70495713195533,-233.72698600253386,-77.20432251254864,-108.03881628847863,-94.40357864478709,-64.66554339919469,-159.50365929058285,-57.893948549179235
cateninbeta_4_af647cy5_txt_lawsls5_nucring,171.0357154556447,149.0363103931519,194.6369719374788,-88.67617799454251,195.63781435882524,197.26749300603458,163.7320416288792,148.19047539985849,201.95715661518338,-75.45600156277273,205.62833698900369,173.86533630638064,108.23034126701779,192.3844592770254,-240.6166806166535,181.58318582435453,191.33328045036583,109.01475530566016,189.7335591177745,42.99118939434576,203.51884567430324,160.79413930363197,110.53742581392466,189.6252853400659,-178.55828016011566,182.61853412516047,206.22749727080435,17.2954921529809,158.7691432719582,-108.82646555452848,140.1095727571508,171.24730325453106,214.22553787868722,180.34732176727542,168.3739951858367,213.25417322330506
cateninbeta_4_af647cy5_txt_lawsls5_plasmem,157.12925995663002,170.93588213350935,149.93061234998953,224.7375753809857,126.66127416075848,135.8751964565981,138.11951421589802,152.91871531588316,146.4931043294066,187.2220259830179,123.3096874861608,137.9409818522228,157.6537817185894,137.83410278426965,280.0648163169032,130.5869243763711,145.37905212579847,155.12732825186725,142.17839367757085,135.42476781445356,128.51576335675503,134.8989181038857,181.68956513045939,137.6849689001533,288.3886063761464,141.91455599208118,149.08952984488397,210.5425338613053,150.2741763349991,225.87300701327888,138.9311401072545,151.86988183808907,207.69970932954024,146.93418618581268,284.7847820975914,143.2190572960529
